Time,Time Code,Country Name,Country Code,GDP ,Exports,Expenditure 
2014,YR2014,Czechia,CZE,2.09E+11,1.72E+11,40473804649
2014,YR2014,Denmark,DNK,3.53E+11,1.93E+11,91021709587
2014,YR2014,Estonia,EST,26634083965,21804108132,4988802087
2014,YR2014,Faroe Islands,FRO,2913995546,1556489978,841051224.9
2014,YR2014,Finland,FIN,2.75E+11,1.00E+11,67361632269
2014,YR2014,France,FRA,2.86E+12,8.47E+11,6.89E+11
2014,YR2014,French Polynesia,PYF,6151998958,NA,NA
2014,YR2014,Germany,DEU,3.89E+12,1.77E+12,7.62E+11
2014,YR2014,Gibraltar,GIB,NA,NA,NA
2014,YR2014,Greece,GRC,2.35E+11,76489983017,48472814156
2014,YR2014,Greenland,GRL,2842048998,1093416481,1302806236
2014,YR2014,Guam,GUM,5610000000,1057000000,NA
2014,YR2014,"Hong Kong SAR, China",HKG,2.91E+11,6.21E+11,27626159064
2014,YR2014,Hungary,HUN,1.41E+11,1.23E+11,28198998287
2014,YR2014,Iceland,ISL,17867662178,9205258379,4310378031
2014,YR2014,Ireland,IRL,2.59E+11,2.85E+11,42496823064
2014,YR2014,Isle of Man,IMN,7708834951,NA,NA
2014,YR2014,Israel,ISR,3.14E+11,1.00E+11,69064786992
2014,YR2014,Italy,ITA,2.16E+12,6.29E+11,4.22E+11
2014,YR2014,Japan,JPN,4.90E+12,8.53E+11,9.76E+11
2014,YR2014,"Korea, Rep.",KOR,1.48E+12,7.10E+11,2.26E+11
2014,YR2014,Kuwait,KWT,1.63E+11,1.11E+11,28875966268
2014,YR2014,Latvia,LVA,31386896487,19194571239,5641618073
2014,YR2014,Liechtenstein,LIE,6657170923,NA,NA
2014,YR2014,Lithuania,LTU,48533659592,35075482148,8063268093
2014,YR2014,Luxembourg,LUX,68804811898,1.26E+11,11044172430
2014,YR2014,"Macao SAR, China",MAC,54903031138,47019694257,3897033967
2014,YR2014,Malta,MLT,11626278730,17417563438,2152251893
2014,YR2014,Monaco,MCO,7069616049,NA,NA
2014,YR2014,Nauru,NRU,104654365.2,98228219.96,NA
2014,YR2014,Netherlands,NLD,8.92E+11,7.19E+11,2.29E+11
2014,YR2014,New Caledonia,NCL,10635039739,1976647745,2491764478
2014,YR2014,New Zealand,NZL,2.01E+11,56333268811,37793048143
2014,YR2014,Northern Mariana Islands,MNP,832000000,437000000,NA
2014,YR2014,Norway,NOR,4.98E+11,1.94E+11,1.09E+11
